Student Id No,Name,Major,Freshman Year,Hometown,State,DOB,Gender,Semester,,
1092475,Gonzalo Arturo Cárdenas Villarreal,LCPF,2009,Morelia,Mich,10-Jun-95,M,4,,
1066301,Elisa Teresa Juárez Goicoetxea,LCPF,2010,Minatitlán,Ver,10-Aug-93,F,8,,
379578,Manuel Ernesto Azcúnaga Lozano,IQA,2011,Mexicali,BC,26-Jun-95,M,4,,
504115,Silvia Eskauriatza Arizmendi,LED,2011,Culiacán,Sin,2-Jul-95,F,4,,
1052225,Nadia Nidia Lozano Arizmendi,LIN,2008,Mexicali,BC,20-Jul-94,F,7,,
473657,Mariángela Gabriela Ochoa Arizmendi,IQA,2009,Tijuana,BC,16-Feb-94,F,6,,
1012180,Silvia Valeria Lozano Treviño,LCPF,2013,Monterrey,NL,17-Dec-93,F,6,,
756565,Montserrat Arizmendi Salaverri,LCPF,2009,Puebla,Pue,10-Aug-94,F,6,,
1058635,Rafael Jorge Urrutia Martínez,IMT,2010,Monterrey,NL,7-Dec-94,M,5,,
455283,José Basaguren Aramburu,LIN,2010,Veracruz,Ver,28-Jul-94,M,6,,
480417,Francisco Alejandro Arizmendi Zárate,LCPF,2008,Cuernavaca,Mor,22-Jul-94,M,6,,
766860,Esther Basaguren Navarro,IMT,2011,Hermosillo,Son,20-Jul-94,F,7,,
814717,Nicolás Sánchez Zabaleta,LAF,2010,Los Mochis,Sin,30-Mar-95,M,4,,
598838,Gerardo Rodríguez Villarreal,IQA,2008,Monterrey,NL,26-Sep-94,M,4,,
359389,Oscar Etxeberría Azcúnaga,LAF,2008,Monterrey,NL,12-Mar-94,M,6,,
664733,Carlos Sánchez Sánchez,IMT,2012,Monterrey,NL,2-Feb-93,M,8,,
621050,Gerardo Enrique Hernandez Martínez,IMT,2008,Culiacán,Sin,28-Apr-95,M,4,,
537861,Elena Etxeberría Treviño,IMT,2013,Saltillo,Coah,23-Feb-95,F,4,,
395939,Fernando Aramburu Urrutia,LAF,2009,Monterrey,NL,30-May-93,M,8,,
841096,Giseel Sofía Eskauriatza Aristegui,IMT,2009,Toluca,Edomex,22-Mar-95,F,4,,
997827,Pablo Ernesto Aristegui Azcúnaga,LCPF,2008,León,Gto,19-Jan-93,M,8,,
734932,César Humberto Juárez Urrutia,LED,2010,Culiacán,Sin,18-May-95,M,4,,
674717,Rodrigo Fernando Ochoa Cárdenas,LAF,2013,Villahermosa,Tab,31-Mar-95,M,4,,
690179,Karla Navarro Ibarguengoitia,IMT,2009,Morelia,Mich,9-Jan-94,F,6,,
660978,Sofía Valeria Villarreal Juárez,LAF,2008,Villahermosa,Tab,13-May-94,F,7,,
545867,Dafne Fernández Aristegui,IMT,2013,Monterrey,NL,27-Sep-93,F,7,,
802879,Humberto José Eskauriatza Fernández,LAF,2010,Tijuana,BC,19-Oct-92,M,8,,
597146,Arturo González Treviño,LIN,2009,Monterrey,NL,7-Jul-93,M,9,,
